date_only,replies,views,forwards
2024-08-01,0,0,0
2024-08-02,2,0,0
2024-08-03,1,706,3
2024-08-04,1,0,0
2024-08-05,0,0,0
2024-08-06,2,0,0
2024-08-07,0,0,0
2024-08-08,3,0,0
2024-08-09,0,0,0
2024-08-10,1,0,0
2024-08-11,1,0,0
2024-08-12,1,0,0
2024-08-13,2,181,2
2024-08-14,1,0,0
2024-08-15,1,0,0
2024-08-16,0,0,0
2024-08-17,0,0,0
2024-08-18,0,0,0
2024-08-19,18,0,0
2024-08-20,37,0,0
2024-08-21,41,0,0
2024-08-22,29,0,0
2024-08-23,59,0,0
2024-08-24,73,59,1
2024-08-25,104,0,0
2024-08-26,105,0,0
2024-08-27,53,0,0
2024-08-28,65,120,3
2024-08-29,52,224,1
2024-08-30,55,304,11
2024-08-31,33,0,0
